Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify user should be able to enter special symbols in 'Email' field.,EL-190,10224,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,09/Sep/21 5:29 AM,09/Sep/21 5:30 AM,09/Sep/21 5:29 AM,09/Sep/21 5:30 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-189,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ay:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to enter alphanumeric characters in 'Email' field.,EL-189,10223,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,09/Sep/21 5:27 AM,09/Sep/21 5:30 AM,09/Sep/21 5:27 AM,09/Sep/21 5:30 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-187,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001aq:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to see 'Confirm Password'  field in register page.,EL-188,10222,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,09/Sep/21 5:23 AM,09/Sep/21 5:25 AM,09/Sep/21 5:23 AM,09/Sep/21 5:25 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-187,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001ai:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to enter alphanumeric characters in 'Confirm Password'  field.,EL-187,10221,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,09/Sep/21 5:19 AM,09/Sep/21 5:27 AM,09/Sep/21 5:19 AM,09/Sep/21 5:22 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-186,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001aa:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to enter special symbols at 'Confirm Password' field.,EL-186,10220,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,09/Sep/21 5:16 AM,09/Sep/21 5:22 AM,09/Sep/21 5:17 AM,09/Sep/21 5:22 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-65,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001a2:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to enter special symbols in 'Enter Username or Email' field.,EL-185,10219,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 9:25 AM,08/Sep/21 9:27 AM,08/Sep/21 9:27 AM,08/Sep/21 9:27 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-184,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0019u:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to enter alphanumeric characters in 'Enter Username or Email' field.,EL-184,10218,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 9:22 AM,08/Sep/21 9:27 AM,08/Sep/21 9:22 AM,08/Sep/21 9:27 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-172,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0019m:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to see 'Send Message' button text color is of white.,EL-183,10217,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 8:31 AM,08/Sep/21 8:33 AM,08/Sep/21 8:33 AM,08/Sep/21 8:33 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-178,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0019e:,,EL Sprint 1,,,,,,,,Done
Verify user should get validation message for entering invalid non-registered  Username at 'Enter Username or Email' field.,EL-182,10216,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 7:18 AM,08/Sep/21 7:36 AM,08/Sep/21 7:18 AM,08/Sep/21 7:36 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-174,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00196:,,EL Sprint 1,,,,,,,,Done
Password reset link is unable to send on registered Email Id,EL-181,10215,Bug,To Do,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Highest,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 7:05 AM,08/Sep/21 8:27 AM,08/Sep/21 7:38 AM,,,0,"Password reset link is unable to send on registered Email Id

1.Go to application

2.Go to Login Page

3.Click on I Lost My Password

4.I Lost My Password page will open

5.Verify Send Message button sends reset link on Registered Email Id.

 

Expected Result

Reset password link should be send on registered Email Id.

Actual Result

Password reset link is unable to send on registered Email Id.



1)User had registered with Email Id 

!image-20210908-071201.png|width=1367,height=437!



2)User enters Username at ‘I lost my password’ page

!image-20210908-070658.png|width=1148,height=453!





3)User enter user’s Registered Email Id at ‘I lost my password’ page

!image-20210908-071044.png|width=1172,height=500!

4)Password reset link is unable to send on registered Email Id.

!image-20210908-070811.png|width=1418,height=356!",,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,EL-121,EL-179,EL-180,,,EL-179,EL-180,,,,,,,,,,,,,,,08/Sep/21 7:32 AM;ug:05ce9516-0560-4fd7-89c8-3f2ff07c4390;image-20210908-070658.png;https://corporateola281999.atlassian.net/secure/attachment/10039/image-20210908-070658.png,08/Sep/21 7:32 AM;ug:05ce9516-0560-4fd7-89c8-3f2ff07c4390;image-20210908-070811.png;https://corporateola281999.atlassian.net/secure/attachment/10036/image-20210908-070811.png,08/Sep/21 7:32 AM;ug:05ce9516-0560-4fd7-89c8-3f2ff07c4390;image-20210908-071044.png;https://corporateola281999.atlassian.net/secure/attachment/10037/image-20210908-071044.png,08/Sep/21 7:32 AM;ug:05ce9516-0560-4fd7-89c8-3f2ff07c4390;image-20210908-071201.png;https://corporateola281999.atlassian.net/secure/attachment/10038/image-20210908-071201.png,,,,,,{},,,,,,,0|i0018y:,,EL Sprint 1,,,,,,,,To Do
